日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2023-04-17,=10666.9859,=15583.4943,=1288196730721.9700,=1105420838879,=671265626982.2700,=2.9520,=0.1869,=4.0804,=3.5117,=2.9677
2023-04-14,=10377.6627,=15160.8194,=1251261394695.4099,=1071657278950,=650832181023.5602,=2.8674,=0.1064,=4.0804,=3.5123,=2.9688
2023-04-13,=10413.7376,=15213.5215,=1255569864860.4202,=1075782118623,=652829046848.5103,=2.8772,=0.1207,=4.0804,=3.5128,=2.9727
2023-04-12,=10565.7251,=15435.5614,=1276413969781.5298,=1094439924629,=665292677606.0800,=2.9250,=0.1671,=4.0804,=3.5134,=2.9777
2023-04-11,=10644.4791,=15550.6138,=1282152822890.8401,=1099751734552,=668080629570.9200,=2.9382,=0.1750,=4.0822,=3.5137,=2.9777
2023-04-10,=10450.1423,=15266.7055,=1258862297952.4602,=1080206199028,=653217664954.8599,=2.8848,=0.1366,=4.0822,=3.5139,=2.9816
2023-04-07,=10431.1018,=15238.8891,=1255858497655.0400,=1077868668194,=650688237077.9800,=2.8778,=0.1213,=4.0822,=3.5144,=2.9820
2023-04-06,=10360.8607,=15136.2733,=1244375429243.3796,=1067202955591,=644253880613.8298,=2.8524,=0.0943,=4.0822,=3.5148,=2.9822
2023-04-04,=10354.9821,=15127.6852,=1245584989770.9902,=1069629825028,=646584817887.7502,=2.8552,=0.0944,=4.0822,=3.5158,=2.9825
2023-04-03,=10486.7099,=15320.1275,=1257064027214.7705,=1077981564460,=651553885504.0901,=2.8815,=0.1269,=4.0825,=3.5169,=2.9825
2023-03-31,=10480.2560,=15310.6989,=1254090618556.8101,=1074157975818,=647431637902.0100,=2.8747,=0.1167,=4.0825,=3.5197,=2.9843
2023-03-30,=10697.4745,=15628.0353,=1282681718107.7295,=1097702845956,=660876065474.1099,=2.9600,=0.1844,=4.0825,=3.5225,=2.9871
2023-03-29,=10344.1641,=15111.8811,=1233746160226.3701,=1053808395823,=634738423560.3700,=2.8472,=0.0910,=4.0825,=3.5227,=2.9924
2023-03-28,=10329.1289,=15089.9160,=1231101214045.9497,=1051980558564,=633754022171.9399,=2.8411,=0.0872,=4.0825,=3.5229,=2.9931
2023-03-27,=10435.5543,=15245.3938,=1241861985068.2202,=1060502107589,=639344089455.8700,=2.8659,=0.1017,=4.0842,=3.5230,=2.9931
2023-03-24,=10496.6466,=15334.6441,=1249756019495.1799,=1067583959244,=643573589013.1901,=2.8841,=0.1253,=4.0842,=3.5232,=2.9934
2023-03-23,=10439.6709,=15251.4078,=1243537268829.5396,=1063374930147,=641638112709.2001,=2.8698,=0.1046,=4.0842,=3.5237,=2.9943
