日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2015-12-25,=2620.5600,=3418.2161,=1273701015851.6001,=878264105360,=426488374508.4202,=2.1086,=0.2407,=2.6722,=2.2304,=2.0833
2015-12-24,=2619.2900,=3416.5634,=1272889918035.7002,=877583712947,=426279885897.3669,=2.1072,=0.2333,=2.6722,=2.2309,=2.0833
2015-12-23,=2656.6900,=3465.3395,=1291096660586.6001,=889692066548,=432305938892.1998,=2.1374,=0.2845,=2.6722,=2.2330,=2.0833
2015-12-22,=2666.9900,=3478.7857,=1296422115313.6997,=892961330635,=433974250303.7998,=2.1462,=0.2983,=2.6722,=2.2351,=2.0833
2015-12-21,=2669.4900,=3482.0472,=1296958172872.0002,=894028967237,=434405801544.6931,=2.1471,=0.2996,=2.6728,=2.2360,=2.0784
2015-12-18,=2620.1800,=3417.7165,=1270918540270.7998,=876567943218,=426317886343.3498,=2.1040,=0.2331,=2.6728,=2.2368,=2.0784
2015-12-17,=2624.6600,=3423.5647,=1274107291044.1997,=877884628763,=426915595575.6664,=2.1092,=0.2383,=2.6728,=2.2376,=2.0784
2015-12-16,=2580.5100,=3365.9769,=1254875335623.6001,=864098697866,=419788045695.0565,=2.0774,=0.1966,=2.6728,=2.2383,=2.0784
2015-12-15,=2589.6000,=3377.8318,=1258448246546,=866941229145,=421231459090.7997,=2.0833,=0.2017,=2.6728,=2.2388,=2.0833
2015-12-14,=2606.2200,=3399.5110,=1267875763483.8000,=873611306144,=423932889241.7635,=2.0989,=0.2198,=2.6803,=2.2392,=2.0784
2015-12-11,=2545.1000,=3319.7899,=1236865526057,=852847508006,=414031104134.0141,=2.0476,=0.1645,=2.6803,=2.2432,=2.0784
2015-12-10,=2560.3300,=3339.6492,=1244459553885.1001,=858054728937,=416737143860.6505,=2.0602,=0.1696,=2.6803,=2.2471,=2.0843
2015-12-09,=2578.6400,=3363.5328,=1226294277598,=864768193852,=419865718524.9038,=2.0884,=0.2009,=2.6803,=2.2474,=2.0884
2015-12-08,=2585.4100,=3372.3694,=1228496903455.3999,=866348068509,=420761484062.8337,=2.0922,=0.2018,=2.6803,=2.2477,=2.0922
2015-12-07,=2645.5200,=3450.7747,=1256150935119.8003,=886136615809,=430447747737.4199,=2.1393,=0.2643,=2.6843,=2.2477,=2.0843
2015-12-04,=2653.8200,=3461.5966,=1261162796541.3999,=890119468111,=431942975823.8730,=2.1478,=0.2743,=2.6843,=2.2478,=2.0843
2015-12-03,=2699.2800,=3520.8972,=1284228708365.2002,=906293082033,=439349885921.9031,=2.1871,=0.3200,=2.6843,=2.2478,=2.0843
2015-12-02,=2685.0500,=3502.3433,=1280103070890,=903183308738,=437128161345.9230,=2.1801,=0.3080,=2.6843,=2.2479,=2.0843
2015-12-01,=2616.5900,=3413.0431,=1241374629738.8999,=876963338327,=425710739444.6933,=2.1141,=0.2197,=2.6843,=2.2507,=2.0843
2015-11-30,=2623.9700,=3422.6599,=1242791110363.5000,=878151739967,=426833832441.1599,=2.1165,=0.2297,=2.6976,=2.2535,=2.0784
2015-11-27,=2571.4800,=3354.2027,=1220441704825.8000,=861115861630,=418430567164.7033,=2.0784,=0.1991,=2.6976,=2.2537,=2.0784
2015-11-26,=2703,=3525.7509,=1284360169891.7000,=904491413025,=439586294477.9029,=2.1873,=0.3091,=2.6976,=2.2540,=2.0843
2015-11-25,=2721.6000,=3550.0140,=1292987540920.3000,=910234056787,=442481019622.5526,=2.2020,=0.3790,=2.6976,=2.2545,=2.0843
2015-11-24,=2704.0300,=3527.0912,=1287456475388.7000,=906142946762,=439705170040.1829,=2.1926,=0.3440,=2.6976,=2.2550,=2.0843
2015-11-23,=2704.2800,=3527.4156,=1286985750108.9998,=905397255119,=439697940222.1697,=2.1918,=0.3364,=2.7034,=2.2562,=2.0768
2015-11-20,=2714.8300,=3541.1765,=1293841957976.8999,=909306789837,=441476399747.4294,=2.2035,=0.3750,=2.7034,=2.2574,=2.0768
2015-11-19,=2715.9200,=3542.4907,=1292309812142.1001,=911973726816,=441718281883.7700,=2.2008,=0.3721,=2.7034,=2.2609,=2.0768
2015-11-18,=2698.5600,=3519.8434,=1283570374063.2000,=906378837052,=438797154180.7000,=2.1859,=0.3131,=2.7034,=2.2643,=2.0768
2015-11-17,=2745.3400,=3580.4787,=1301770071635.3000,=919997214382,=446197278843.8500,=2.2164,=0.3991,=2.7034,=2.2656,=2.0768
2015-11-16,=2725.3500,=3554.4166,=1291205901000.7000,=911884649134,=445021741346.7099,=2.1991,=0.3538,=2.7043,=2.2669,=2.0763
2015-11-13,=2759.4900,=3598.9331,=1319289027608.2998,=929227099209,=449196685767.2000,=2.2392,=0.4502,=2.7043,=2.2698,=2.0763
2015-11-12,=2760.1100,=3599.7476,=1318745476292.7000,=928645428386,=449316908758.4001,=2.2383,=0.4476,=2.7043,=2.2728,=2.0763
2015-11-11,=2778.9300,=3624.2936,=1324312230100.6001,=936883859685,=452441778368.8600,=2.2478,=0.4593,=2.7043,=2.2815,=2.0763
2015-11-10,=2758.4400,=3597.5717,=1316860309223.7000,=931019747067,=449202865357.9300,=2.2351,=0.4423,=2.7043,=2.2902,=2.0763
2015-11-09,=2776.7400,=3621.4388,=1327996883891.2000,=938206459788,=452249422719.0700,=2.2540,=0.4686,=2.7100,=2.2909,=2.0755
2015-11-06,=2748.7700,=3584.9579,=1313765706101.5000,=927710408193,=447651830266.8501,=2.2299,=0.4369,=2.7100,=2.2916,=2.0755
2015-11-05,=2720.2200,=3547.7158,=1302243625025.7998,=919000894899,=443068098753.5800,=2.2103,=0.3951,=2.7100,=2.2968,=2.0755
2015-11-04,=2678.2400,=3492.9753,=1281419006094.1001,=903338851915,=436138631556.9901,=2.1750,=0.3137,=2.7100,=2.3020,=2.0755
2015-11-03,=2580.4500,=3365.4315,=1234233299597.7998,=872113695746,=420284241232.1500,=2.0949,=0.2217,=2.7100,=2.3049,=2.0755
2015-11-02,=2593.0400,=3381.8581,=1238373384168.3999,=875088132228,=422221224956.6500,=2.1019,=0.2228,=2.7312,=2.3078,=2.0733
2015-10-30,=2635.7000,=3437.4934,=1254890344326,=888101590532,=429193912953.3900,=2.1377,=0.2687,=2.7312,=2.3083,=2.0733
2015-10-29,=2659.9800,=3469.1581,=1264227585386.6001,=896359458001,=433395653422.4301,=2.1738,=0.3000,=2.7312,=2.3087,=2.0733
2015-10-28,=2642.2300,=3446.0069,=1257932283000.3999,=892241592330,=430591401914.7100,=2.1594,=0.2915,=2.7312,=2.3100,=2.0733
2015-10-27,=2676.2100,=3490.3240,=1270942535466.8999,=901322470917,=436035158645.9101,=2.1907,=0.3232,=2.7312,=2.3113,=2.0733
2015-10-26,=2685.0200,=3501.8195,=1275296454548.6997,=905178223255,=435778729057.4201,=2.2007,=0.3553,=2.7422,=2.3121,=2.0700
2015-10-23,=2682.8700,=3499.0067,=1270563003200.2000,=901818930745,=435792587908.9101,=2.1988,=0.3418,=2.7422,=2.3129,=2.0700
2015-10-22,=2648.7300,=3454.4845,=1258012198403.6001,=892272499451,=430251100713.1699,=2.1726,=0.2974,=2.7422,=2.3152,=2.0700
2015-10-21,=2587.9700,=3375.2422,=1233712854479.8000,=873802535955,=420444814210.9400,=2.1315,=0.2629,=2.7422,=2.3174,=2.0700
2015-10-20,=2710.6700,=3535.2654,=1292701496400.7000,=916283461749,=440389225682.5701,=2.2728,=0.4560,=2.7422,=2.3194,=2.0700
2015-10-19,=2676.5400,=3490.7589,=1278433389101.7000,=906219537002,=434809156807.6000,=2.2477,=0.4219,=2.7432,=2.3214,=2.0593
2015-10-16,=2675.8000,=3489.7838,=1281716422358.3003,=907627200411,=434728083620.9201,=2.2535,=0.4293,=2.7432,=2.3234,=2.0593
2015-10-15,=2656.5100,=3464.6347,=1272243206513.6001,=900806304496,=431628246950.8599,=2.2368,=0.4158,=2.7432,=2.3254,=2.0593
2015-10-14,=2593.1700,=3382.0252,=1245006120787.2002,=880312193959,=421390612417.7301,=2.1889,=0.3122,=2.7432,=2.3294,=2.0593
2015-10-13,=2630.0200,=3430.0849,=1262477238222.6001,=893219740670,=427414094824.9400,=2.2196,=0.3777,=2.7432,=2.3333,=2.0593
