日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2015-08-10,=3216.1500,=4192.2740,=1511755106144.2000,=1095197568456,=504409338932.4010,=2.7974,=0.8121,=2.7744,=2.4445,=2.0126
2015-08-07,=3073.2400,=4005.9827,=1443402668560.8000,=1042520359881,=482250938796.5936,=2.6709,=0.7230,=2.7646,=2.4417,=2.0126
2015-08-06,=3007.5800,=3919.6895,=1415470934497.2000,=1022287463574,=472229565144.2432,=2.6187,=0.6735,=2.7744,=2.4407,=2.0111
2015-08-05,=3027.6100,=3945.7982,=1427499126885.8999,=1030691642743,=475251798660.5609,=2.6410,=0.6986,=2.7744,=2.4396,=2.0111
2015-08-04,=3086.6200,=4022.6942,=1461950878247,=1054144424255,=484408178538.6743,=2.7043,=0.7655,=2.7744,=2.4316,=2.0111
2015-08-03,=2981.1600,=3885.2601,=1416720939926,=1020524903827,=468220221004.0372,=2.6206,=0.6875,=2.7744,=2.4236,=2.0111
2015-07-31,=2978.4500,=3881.7297,=1398545988383.2998,=1015734874694,=467747111753.0043,=2.6021,=0.6573,=2.7744,=2.4230,=2.0111
2015-07-30,=2988.2000,=3894.4329,=1399574324621.8000,=1016940555313,=469177844358.6014,=2.6040,=0.6620,=2.7848,=2.4224,=2.0065
2015-07-29,=3062.6700,=3991.4889,=1436195179047.7000,=1044545556889,=481133579094.3068,=2.6722,=0.7234,=2.7848,=2.4175,=2.0065
2015-07-28,=2924.7400,=3810.8408,=1372675482026.7002,=998003430372,=459734805948.0535,=2.5531,=0.6071,=2.7848,=2.4127,=2.0065
2015-07-27,=2940.5800,=3829.5803,=1377352571866.3999,=999520418007,=461217145620.6396,=2.5574,=0.6115,=2.7848,=2.3865,=2.0065
2015-07-24,=3173.4600,=4132.8566,=1488926298354.6001,=1080481142145,=497558172353.0349,=2.7646,=0.7826,=2.7848,=2.3602,=2.0065
2015-07-23,=3206.3100,=4171.0858,=1503577734635,=1091773270095,=502771640929.4440,=2.7848,=0.7956,=2.8065,=2.3469,=2.0057
2015-07-22,=3152.3600,=4100.9049,=1481089450115.3999,=1076159413479,=494793416652.8926,=2.7432,=0.7868,=2.8065,=2.3337,=2.0057
2015-07-21,=3107.0400,=4040.4368,=1461041660175,=1061370515685,=487479794004.7347,=2.7034,=0.7704,=2.8065,=2.3225,=2.0057
2015-07-20,=3100.3400,=4027.9922,=1462757020022.6001,=1061142361857,=486951057349.2014,=2.6976,=0.7687,=2.8065,=2.3113,=2.0057
2015-07-17,=3074.2100,=3994.0388,=1453363263080.3000,=1053609830326,=483189306021.7393,=2.6803,=0.7594,=2.8065,=2.3100,=2.0057
2015-07-16,=2952.6900,=3835.6741,=1398164178400,=1011764265967,=464223859490.4144,=2.5780,=0.6591,=2.8077,=2.3087,=2.0042
2015-07-15,=2903.6400,=3771.9510,=1374126202013.1001,=993173365383,=456209042063.3788,=2.5337,=0.6336,=2.8077,=2.3053,=2.0042
2015-07-14,=3100.0600,=4027.1124,=1469766331549.3000,=1061505390726,=486562315531.1142,=2.7100,=0.7692,=2.8077,=2.3020,=2.0042
2015-07-13,=3147.7400,=4089.0535,=1504692828867.3000,=1083199670354,=493593978552.8757,=2.7744,=0.7829,=2.8077,=2.2961,=2.0042
2015-07-10,=2975.1400,=3854.4423,=1423333350695.3999,=1024486120272,=467328844892.7046,=2.5993,=0.6875,=2.8077,=2.2902,=2.0042
2015-07-09,=2802.0600,=3630.2041,=1337010890521.3999,=962346450168,=440403923034.0520,=2.4417,=0.5827,=2.8254,=2.2786,=2.0037
2015-07-08,=2648.0100,=3430.6306,=1260498242187.6001,=907815944382,=416444071636.8776,=2.3020,=0.5159,=2.8254,=2.2669,=2.0037
2015-07-07,=2817.8700,=3637.5003,=1344257150420.8999,=969610091584,=442859724129.7106,=2.4396,=0.5760,=2.8254,=2.2656,=2.0037
2015-07-06,=2910.4300,=3756.9836,=1369183346761.8999,=993464963782,=457853828521.7628,=2.4848,=0.5968,=2.8254,=2.2643,=2.0037
2015-07-03,=2921.2100,=3770.5685,=1372923796496.3000,=994655286665,=459313890185.2419,=2.4914,=0.6016,=2.8254,=2.2609,=2.0037
