日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2023-03-07,=1077.4100,=1371.8700,=972449459426.4200,=850167203745,=393247418900.9699,=1.0723,=0.3252,=1.5647,=1.2515,=0.9992
2023-03-06,=1089.3200,=1387.0300,=982296348312.1698,=858295147977,=397448764513.3700,=1.0832,=0.3389,=1.5647,=1.2516,=0.9992
2023-03-03,=1099.0700,=1399.4400,=992610127767.5100,=867603378626,=401144928977.8300,=1.0945,=0.3499,=1.5647,=1.2520,=0.9992
2023-03-02,=1093.1900,=1391.9600,=986440285347.4896,=861855588970,=398901240690.6801,=1.0878,=0.3423,=1.5647,=1.2524,=0.9992
2023-03-01,=1088.5000,=1385.9900,=981917828625.1100,=856666825061,=397192654257.5800,=1.0828,=0.3378,=1.5650,=1.2531,=0.9989
2023-02-28,=1082.8900,=1378.8500,=977286173308.3298,=852336842381,=395179611647.0100,=1.0790,=0.3297,=1.5650,=1.2538,=0.9989
2023-02-27,=1079.2300,=1374.1900,=974176867089.7598,=849566219707,=393984458739.9500,=1.0755,=0.3273,=1.5650,=1.2540,=0.9989
2023-02-24,=1087.2600,=1384.4100,=980462368693.5400,=855004886668,=396902449044.8799,=1.0825,=0.3342,=1.5650,=1.2543,=0.9989
2023-02-23,=1086.3100,=1383.2000,=979879232826.2400,=853926825676,=396542699037.0299,=1.0818,=0.3339,=1.5650,=1.2543,=0.9989
2023-02-22,=1088.8100,=1386.3900,=982630806607.7200,=856561713373,=397482558241.6600,=1.0849,=0.3377,=1.5656,=1.2544,=0.9988
2023-02-21,=1089.1900,=1386.8700,=982200859043.8702,=855391784787,=397717248535.2501,=1.0844,=0.3373,=1.5656,=1.2547,=0.9988
2023-02-20,=1065.3800,=1356.5500,=958787061111.2100,=834406770124,=388759074318.9700,=1.0586,=0.3109,=1.5656,=1.2549,=0.9988
2023-02-17,=1042.8700,=1327.8900,=935028520002.3400,=812914572755,=380126342017.9499,=1.0323,=0.2579,=1.5656,=1.2557,=0.9988
2023-02-16,=1043.8600,=1329.1500,=935794007384.3800,=814059335876,=380599956427.9299,=1.0332,=0.2607,=1.5656,=1.2565,=0.9988
2023-02-15,=1055.9200,=1344.5000,=947077232393.6404,=823147658790,=385024192595.3800,=1.0456,=0.2911,=1.5658,=1.2565,=0.9987
2023-02-14,=1064.5700,=1355.5200,=955146120880.3300,=829556865342,=388165648115.2699,=1.0545,=0.3043,=1.5658,=1.2565,=0.9987
2023-02-13,=1052.0700,=1339.6000,=943612789766.4800,=819389304710,=383589651008.0900,=1.0418,=0.2836,=1.5658,=1.2570,=0.9987
2023-02-10,=1043.4900,=1328.6800,=935065944703.8298,=810530553225,=380453091839.5699,=1.0324,=0.2586,=1.5658,=1.2574,=0.9987
2023-02-09,=1053.1300,=1340.9600,=942058756521.1500,=816250921828,=383851754335.0800,=1.0404,=0.2791,=1.5658,=1.2581,=0.9987
2023-02-08,=1043.2900,=1328.4300,=933474952448.0699,=808518896535,=380209143879.6401,=1.0310,=0.2563,=1.5661,=1.2588,=0.9986
2023-02-07,=1049.0800,=1335.8000,=938502861358.4200,=812959388305,=382266649688.8299,=1.0365,=0.2705,=1.5661,=1.2589,=0.9986
2023-02-06,=1042.3000,=1327.1600,=932539717830.4200,=807876030115,=379809944967.0200,=1.0299,=0.2534,=1.5661,=1.2591,=0.9986
2023-02-03,=1051.1700,=1338.4600,=940523758819.3500,=814575575865,=383120614537.5600,=1.0387,=0.2734,=1.5661,=1.2591,=0.9986
2023-02-02,=1063.2200,=1353.8000,=952523689809.4500,=825333772863,=387745553137.0102,=1.0520,=0.2982,=1.5661,=1.2592,=0.9986
2023-02-01,=1068.7900,=1360.8900,=956724236527.8398,=828879074479,=389678121272.2799,=1.0566,=0.3041,=1.5663,=1.2592,=0.9983
2023-01-31,=1052.3500,=1339.9600,=939807204467.8500,=814407268571,=383435413159.2299,=1.0380,=0.2723,=1.5663,=1.2592,=0.9983
2023-01-30,=1048.7800,=1335.4100,=937134600474.5902,=812097344538,=382114547725.2199,=1.0351,=0.2688,=1.5663,=1.2593,=0.9983
2023-01-20,=1035.2400,=1318.1800,=927783981084.8002,=804575352102,=377362944043.8200,=1.0247,=0.2447,=1.5663,=1.2593,=0.9983
2023-01-19,=1014.5100,=1291.4900,=910556776153.5100,=790164610042,=369927093173.6299,=1.0054,=0.2139,=1.5663,=1.2602,=0.9983
2023-01-18,=1006.6700,=1281.5000,=903543911845.1497,=784165531125,=367271957801.1301,=0.9977,=0.1993,=1.5667,=1.2610,=0.9982
2023-01-17,=1003.0300,=1276.8600,=900031030183.8099,=781155606273,=365959383136.3699,=0.9938,=0.1888,=1.5667,=1.2613,=0.9983
2023-01-16,=1006.1800,=1280.8800,=902587225655.2100,=783488140205,=367217277743.0900,=0.9966,=0.1942,=1.5667,=1.2616,=0.9986
2023-01-13,=998.7300,=1271.3900,=894570919264.3499,=776300658449,=364210996807.3501,=0.9878,=0.1775,=1.5667,=1.2617,=0.9987
2023-01-12,=995.6500,=1267.4800,=891130103844.5599,=773232122838,=363020485969.5300,=0.9840,=0.1712,=1.5667,=1.2619,=0.9988
2023-01-11,=996.8000,=1268.9400,=892203779921.3301,=773930380408,=363296423069.4799,=0.9851,=0.1734,=1.5670,=1.2620,=0.9988
2023-01-10,=996.6800,=1268.7800,=890487988092.1698,=772230392482,=363260790953.8900,=0.9833,=0.1709,=1.5670,=1.2621,=0.9989
2023-01-09,=1003.6900,=1277.7100,=898402624429.2900,=779446046515,=365923910230.5200,=0.9920,=0.1826,=1.5670,=1.2623,=0.9992
2023-01-06,=998.6900,=1271.3400,=894729058995.8499,=776793914900,=364172908117.0598,=0.9879,=0.1763,=1.5670,=1.2625,=0.9997
2023-01-05,=988.6200,=1258.5300,=886383763620.5100,=769848518432,=360321220486.0899,=0.9787,=0.1643,=1.5670,=1.2631,=0.9999
2023-01-04,=984.8100,=1253.6700,=880993653129.0402,=764899777980,=358627891312.7201,=0.9728,=0.1543,=1.5682,=1.2636,=0.9999
2023-01-03,=984.7300,=1253.5700,=878906331780.0800,=762621588157,=358390044191.6101,=0.9705,=0.1502,=1.5682,=1.2637,=1.0001
2022-12-30,=973.4200,=1239.1700,=870751405233.5000,=755892491919,=354465595038.3200,=0.9615,=0.1386,=1.5682,=1.2639,=1.0002
2022-12-29,=977.5100,=1244.3900,=873412876916.3500,=757898253919,=355917255110.7501,=0.9644,=0.1424,=1.5682,=1.2643,=1.0011
2022-12-28,=986.9000,=1256.3400,=882809347903.7999,=765728880043,=359338108332.1999,=0.9748,=0.1568,=1.5682,=1.2647,=1.0017
2022-12-27,=987.3200,=1256.8700,=881500434630.2499,=763610137724,=359439654156.5800,=0.9733,=0.1537,=1.5684,=1.2649,=1.0017
2022-12-26,=975.3800,=1241.6700,=870950024090.1901,=754888837605,=355108149200.1299,=0.9617,=0.1389,=1.5684,=1.2650,=1.0022
2022-12-23,=970.1000,=1234.9500,=868600319867.4501,=753443757316,=353381178089.5299,=0.9591,=0.1326,=1.5684,=1.2653,=1.0023
2022-12-22,=971.0700,=1236.1800,=870636429346.4401,=754309283195,=353584783671.1101,=0.9613,=0.1375,=1.5684,=1.2657,=1.0028
2022-12-21,=986.1200,=1255.3400,=883135439334.3799,=764889729338,=358921254506.5600,=0.9751,=0.1551,=1.5684,=1.2658,=1.0029
2022-12-20,=990.9200,=1261.4500,=887135268333.9703,=767785044178,=360641178716.6701,=0.9796,=0.1605,=1.5693,=1.2658,=1.0029
2022-12-19,=995.1000,=1266.7800,=891537963974.0203,=771808348313,=362194835761.0500,=0.9844,=0.1664,=1.5693,=1.2659,=1.0031
2022-12-16,=1019.5100,=1297.8500,=914538402950.2804,=792533567868,=371062770549.8600,=1.0099,=0.2144,=1.5693,=1.2660,=1.0032
2022-12-15,=1010.4950,=1286.3700,=904521258043.0300,=781905558752,=367620923737.0101,=0.9988,=0.1927,=1.5693,=1.2660,=1.0032
2022-12-14,=1015.4756,=1292.7100,=910842215641.6000,=787859516814,=369620866147.8902,=1.0058,=0.2055,=1.5693,=1.2660,=1.0035
2022-12-13,=1025.6665,=1305.6900,=920676586460.5699,=795902743318,=373389642546.1700,=1.0167,=0.2200,=1.5695,=1.2663,=1.0032
2022-12-12,=1016.0238,=1293.4100,=910992261268.8098,=788047273334,=369809654525.9800,=1.0060,=0.2058,=1.5695,=1.2667,=1.0032
2022-12-09,=1039.3967,=1323.1700,=928516278759.1500,=805307240003,=376427944319.9400,=1.0279,=0.2389,=1.5695,=1.2673,=1.0032
2022-12-08,=1030.8147,=1312.2400,=921321083164.7600,=797935945314,=373237748821.0099,=1.0200,=0.2247,=1.5695,=1.2679,=1.0032
2022-12-07,=1030.2226,=1311.4900,=920867946195.4600,=797641729362,=373015603553.8301,=1.0195,=0.2237,=1.5695,=1.2679,=1.0032
2022-12-06,=1038.0565,=1321.4600,=928580837312.2600,=805472863280,=376157778797.3001,=1.0280,=0.2382,=1.5697,=1.2680,=1.0031
2022-12-05,=1038.6381,=1322.2000,=929645670891.7802,=807085409533,=376300905974.5001,=1.0292,=0.2394,=1.5697,=1.2680,=1.0031
2022-12-02,=1014.6091,=1291.6100,=904794510013.3199,=783827144261,=367288391003.7901,=1.0017,=0.1973,=1.5697,=1.2680,=1.0031
2022-12-01,=1021.9912,=1301.0100,=910926964125.4104,=789263098421,=369908018438.7799,=1.0085,=0.2108,=1.5697,=1.2688,=1.0032
2022-11-30,=1019.3222,=1297.6100,=908083207968.4399,=786631291998,=368929244092.3200,=1.0053,=0.2040,=1.5697,=1.2696,=1.0032
2022-11-29,=1021.8892,=1300.8800,=910523675495.7100,=789236753852,=369833957792.9500,=1.0080,=0.2094,=1.5711,=1.2698,=1.0031
2022-11-28,=1012.0390,=1288.3400,=898842638743.2000,=777562472795,=366081884099.0300,=0.9951,=0.1849,=1.5711,=1.2701,=1.0031
2022-11-25,=1021.8478,=1300.8300,=909540518344.1202,=786499947947,=369919535910.0399,=1.0069,=0.2080,=1.5711,=1.2710,=1.0032
2022-11-24,=1017.5832,=1295.4000,=903175041615.5900,=779810580084,=368251799826.9201,=0.9999,=0.1953,=1.5711,=1.2719,=1.0032
2022-11-23,=1015.7805,=1293.1000,=900827592466.3596,=777488244837,=367616390386.6700,=0.9973,=0.1889,=1.5711,=1.2719,=1.0035
2022-11-22,=1008.0397,=1283.2500,=892615968208.6500,=770784251233,=364465848396.4701,=0.9882,=0.1729,=1.5712,=1.2720,=1.0035
2022-11-21,=1005.1739,=1279.6000,=887650758914.5698,=765412600381,=363256885358.9600,=0.9827,=0.1671,=1.5712,=1.2721,=1.0039
