日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-10-13,=968.9392,=1233.4700,=856853195405.7599,=743917422527,=349822482714.1001,=0.9465,=0.1101,=1.5730,=1.2774,=1.0119
2022-10-12,=977.2134,=1239.9400,=865881301065.2300,=752268343639,=352988770943.9201,=0.9523,=0.1211,=1.5730,=1.2776,=1.0131
2022-10-11,=964.0564,=1223.2400,=854996972674.0897,=742510239580,=348306991289.5400,=0.9403,=0.1010,=1.5733,=1.2778,=1.0131
2022-10-10,=959.8299,=1217.8800,=851834737778.5299,=733303415022,=346806089053.8200,=0.9368,=0.0912,=1.5733,=1.2778,=1.0141
2022-09-30,=966.9517,=1226.9200,=856765368083.7397,=737163564278,=349325161215.7501,=0.9422,=0.1027,=1.5733,=1.2779,=1.0146
2022-09-29,=969.5319,=1230.1900,=856179174642.8301,=736028284338,=350052395052.5201,=0.9416,=0.1017,=1.5733,=1.2780,=1.0151
2022-09-28,=971.0637,=1232.1300,=857989720622.5800,=738206056204,=350603618384.6400,=0.9436,=0.1050,=1.5733,=1.2780,=1.0153
2022-09-27,=1003.3807,=1273.1400,=884050664836.4099,=759077266643,=362067495324.3300,=0.9722,=0.1423,=1.5745,=1.2781,=1.0153
2022-09-26,=995.8500,=1263.1500,=879297896824.6600,=753490490550,=359177868482.1601,=0.9664,=0.1369,=1.5745,=1.2781,=1.0154
2022-09-23,=1026.9601,=1302.6100,=908300080834.9698,=778743080229,=370483220736.5000,=0.9982,=0.1759,=1.5745,=1.2781,=1.0156
2022-09-22,=1035.8421,=1313.8700,=915588979288.7402,=784362581115,=373603714235.0399,=1.0062,=0.1886,=1.5745,=1.2782,=1.0161
2022-09-21,=1039.8624,=1318.9700,=920759430032.9200,=788678468356,=375264108242.1300,=1.0119,=0.1953,=1.5745,=1.2783,=1.0170
2022-09-20,=1027.0763,=1302.7500,=908406264863.2400,=777756025475,=370488481485.8801,=0.9983,=0.1762,=1.5751,=1.2784,=1.0170
2022-09-19,=1019.6697,=1293.3600,=902849804237.0500,=775221750902,=367894453227.0900,=0.9922,=0.1658,=1.5751,=1.2788,=1.0171
2022-09-16,=1034.2058,=1311.8000,=914755353099.1000,=713498114142,=372978119252.1299,=1.0053,=0.1857,=1.5751,=1.2791,=1.0182
