日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2016-04-01,=1429.8940,=1581.5900,=759549767782.3000,=582670951866,=157187235570.6199,=1.1652,=0.2435,=1.5235,=1.2730,=1.1491
2016-03-31,=1412.1820,=1562,=752137605615.1001,=575908058963,=155291399514.6700,=1.1538,=0.2188,=1.5383,=1.2744,=1.1470
2016-03-30,=1408.9180,=1558.3900,=751870199206.9000,=576094178036,=155046212053.3100,=1.1530,=0.2147,=1.5383,=1.2747,=1.1470
2016-03-29,=1380.9330,=1527.4400,=735331032638.8000,=563526453389,=151934248587.7500,=1.1302,=0.1474,=1.5383,=1.2751,=1.1470
2016-03-28,=1395.6760,=1543.7500,=741585514795.0999,=568804994080,=151396003202.0300,=1.1390,=0.1587,=1.5383,=1.2752,=1.1491
2016-03-25,=1407.0340,=1556.3100,=748126101247.7000,=573226006557,=152608085309.4800,=1.1491,=0.1968,=1.5383,=1.2752,=1.1496
2016-03-24,=1398.8990,=1547.3100,=743504778024.5001,=569769449690,=151741226855.7000,=1.1364,=0.1551,=1.5447,=1.2752,=1.1496
2016-03-23,=1437.2940,=1589.7800,=765436093770.2000,=586201431697,=155851493510.1500,=1.1699,=0.2312,=1.5447,=1.2753,=1.1627
2016-03-22,=1432.8470,=1584.8600,=763602523595.3000,=584951074366,=155420810158.0300,=1.1646,=0.2162,=1.5447,=1.2756,=1.1627
2016-03-21,=1452.6800,=1606.8000,=773667152811.6001,=592684183525,=157532888181.8300,=1.1800,=0.2391,=1.5447,=1.2759,=1.1627
2016-03-18,=1426.3530,=1577.6800,=762367577201.8999,=584562148315,=154873743706.7800,=1.1627,=0.2022,=1.5447,=1.2778,=1.1627
2016-03-17,=1396.7390,=1544.9200,=750695640034.4999,=575700525761,=151892521980.3400,=1.1449,=0.1868,=1.5473,=1.2797,=1.1496
2016-03-16,=1367.3330,=1512.4000,=738128361784.9999,=566450296712,=148936600026.8400,=1.1258,=0.1492,=1.5473,=1.2801,=1.1634
2016-03-15,=1377.8430,=1524.0200,=737499355799.7999,=565470827970,=149729541636.5700,=1.1248,=0.1389,=1.5473,=1.2805,=1.1637
2016-03-14,=1403.3880,=1552.2800,=749204372548.8000,=573504730795,=152340748479.3000,=1.1427,=0.1620,=1.5473,=1.2811,=1.1665
2016-03-11,=1377.3100,=1523.4300,=734557746726.5000,=562912646809,=149584098149.8600,=1.1203,=0.1292,=1.5473,=1.2816,=1.1688
