日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2021-11-05,=5515.5160,=5993.3300,=2734774835758.8501,=2227187557868,=1555289468159.0996,=5.9268,=0.9044,=4.2380,=2.8505,=1.9294
2021-11-04,=5657.0804,=6147.1600,=2796958309520.6699,=2285367795952,=1596099379017.7200,=6.1809,=0.9383,=4.2331,=2.8496,=1.9294
2021-11-03,=5540.5676,=6020.5500,=2744911024505.6299,=2242348505280,=1563662840117.1799,=6.0659,=0.9252,=4.2276,=2.8442,=1.9294
2021-11-02,=5651.0999,=6140.6600,=2829000650893.7900,=2310309573155,=1615788253290.1196,=6.2517,=0.9463,=4.1796,=2.8388,=1.9294
2021-11-01,=5792.6396,=6294.4600,=2888681562921.2700,=2361317054683,=1649423214886.8298,=6.3836,=0.9690,=4.1754,=2.8315,=1.9294
2021-10-29,=5839.9887,=6345.9100,=2898239759053.2705,=2369085710739,=1647289707846.3198,=6.4672,=0.9804,=4.1754,=2.8242,=1.9292
2021-10-28,=5673.9745,=6165.5200,=2792638542938.5693,=2277759230344,=1561845737111.5396,=6.3740,=0.9689,=4.1545,=2.8217,=1.9292
2021-10-27,=5747.1406,=6245.0200,=2815588469271.9907,=2298687622674,=1569368534318.0798,=6.4803,=0.9820,=4.1415,=2.8191,=1.9292
2021-10-26,=5624.6447,=6111.8300,=2756600659996.7202,=2245471849233,=1535875196851.9299,=6.3449,=0.9639,=4.1300,=2.8153,=1.9292
2021-10-25,=5670.5526,=6161.7200,=2784161210432.2905,=2269752163277,=1546561273831.3799,=6.4872,=0.9836,=4.1241,=2.8115,=1.9292
2021-10-22,=5429.4207,=5899.7000,=2669881331304.8003,=2175337309530,=1478014606848.2798,=6.2529,=0.9572,=4.1241,=2.8113,=1.9290
2021-10-21,=5518.0246,=5995.9800,=2702399105295.5498,=2203619595218,=1496342326225.5601,=6.3832,=0.9736,=4.1199,=2.8112,=1.9290
2021-10-20,=5628.4485,=6115.9700,=2764210513997.1602,=2253180065566,=1519418025129.9399,=6.5453,=0.9917,=4.0945,=2.8082,=1.9290
2021-10-19,=5515.5952,=5993.3400,=2709880276730.1294,=2208283464677,=1487350402777.4299,=6.4166,=0.9801,=4.0789,=2.8052,=1.9290
2021-10-18,=5523.5682,=6002,=2718112059860.6611,=2215504536295,=1493361154391.1299,=6.4361,=0.9851,=4.0655,=2.7997,=1.9290
2021-10-15,=5416.6301,=5885.8000,=2663319603162.2798,=2186549159371,=1465615914281.1702,=6.3057,=0.9701,=4.0655,=2.7941,=1.9287
2021-10-14,=5302.9602,=5762.2900,=2609125345879.7798,=2137558455046,=1431176847565.1897,=6.1774,=0.9567,=4.0609,=2.7895,=1.9287
2021-10-13,=5192.6604,=5642.4300,=2559231336339.3599,=2102841398629,=1410360046130.8201,=6.0593,=0.9467,=4.0408,=2.7849,=1.9287
2021-10-12,=4976.7656,=5407.8400,=2439797533626.6797,=2007218981999,=1346119881796.8501,=5.7765,=0.9165,=4.0139,=2.7772,=1.9287
2021-10-11,=5029.2775,=5464.9000,=2457913857917.6196,=2023901933232,=1356919499133.7900,=5.8194,=0.9197,=3.9805,=2.7695,=1.9287
2021-10-08,=5108.3559,=5550.8300,=2489874105904.1099,=2054124317525,=1377426357742.4802,=5.8951,=0.9229,=3.9805,=2.7690,=1.9267
2021-09-30,=5255.6727,=5710.9000,=2569167584627.1899,=2113250435387,=1418608334190.9895,=6.0970,=0.9513,=3.9585,=2.7685,=1.9267
2021-09-29,=5157.7481,=5604.5000,=2515999354718.4604,=2070615371268,=1392281124262.3799,=5.9782,=0.9378,=3.9151,=2.7534,=1.9267
2021-09-28,=5184.0196,=5633.0400,=2527085424606.6401,=2082229303697,=1398305596278.2798,=6.0045,=0.9461,=3.8781,=2.7383,=1.9267
2021-09-27,=5252.1307,=5707.0500,=2563457391788.0405,=2113820604877,=1418377886908.2000,=6.0910,=0.9494,=3.8567,=2.7280,=1.9267
2021-09-24,=5306.2862,=5765.9000,=2581396545931.3198,=2127011297409,=1426769094180.3098,=6.1340,=0.9544,=3.8567,=2.7177,=1.9265
2021-09-23,=5208.8682,=5660.0400,=2521553270370.0205,=2084092277700,=1396735729401.3301,=5.9918,=0.9492,=3.8279,=2.6798,=1.9265
2021-09-22,=5184.6440,=5633.7200,=2512677877586.2905,=2080402183319,=1390689325395.4602,=5.9707,=0.9441,=3.8272,=2.6420,=1.9265
