日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-01-05,=8782.2881,=10995.8000,=1893821730621.6201,=1493135301187,=803780515463.7299,=1.1959,=0.2897,=1.9730,=1.4143,=1.1485
2022-01-04,=8876.7693,=11114.1000,=1914680869062.8203,=1506774697703,=810838936140.5602,=1.2091,=0.3099,=1.9730,=1.4145,=1.1485
2021-12-31,=8876.0465,=11113.1900,=1915656683208.2695,=1507350082961,=810772449610.5200,=1.2097,=0.3107,=1.9730,=1.4148,=1.1485
2021-12-30,=8818.0422,=11040.5700,=1901778841986.0200,=1497351120786,=806844194014.1101,=1.2009,=0.2975,=1.9761,=1.4148,=1.1483
2021-12-29,=8790.0337,=11005.5000,=1895948805030.0996,=1493067636626,=805163949554.2100,=1.1974,=0.2922,=1.9761,=1.4148,=1.1483
2021-12-28,=8807.0741,=11026.8400,=1901620296621.0496,=1496952581766,=807644569715.7198,=1.2010,=0.2973,=1.9761,=1.4155,=1.1483
2021-12-27,=8857.2015,=11089.6000,=1913588505988.3401,=1503245414759,=810960923901.4199,=1.2086,=0.3084,=1.9761,=1.4161,=1.1483
2021-12-24,=8848.6484,=11078.8900,=1911134995143.4609,=1500245956964,=809836641659.6798,=1.2070,=0.3068,=1.9761,=1.4174,=1.1483
2021-12-23,=8984.6504,=11249.1700,=1941401304440.6604,=1524522574654,=821680007160.2699,=1.2261,=0.3289,=1.9771,=1.4186,=1.1477
2021-12-22,=8945.6703,=11200.3600,=1936221324579.8701,=1520791283189,=817792461903.2200,=1.2229,=0.3248,=1.9771,=1.4204,=1.1477
2021-12-21,=9051.0729,=11332.3300,=1961830466603.1597,=1538053439410,=827208861713.8300,=1.2390,=0.3445,=1.9771,=1.4223,=1.1477
2021-12-20,=8971.6175,=11232.8500,=1946784541138.7495,=1524676505365,=819793172065.6799,=1.2295,=0.3325,=1.9771,=1.4226,=1.1477
2021-12-17,=8952.8379,=11209.3400,=1931929136093.8203,=1520475207274,=819589078192.9297,=1.2202,=0.3217,=1.9771,=1.4230,=1.1477
2021-12-16,=8962.3686,=11221.2700,=1933105861176.6001,=1520566149914,=821371186626.4998,=1.2209,=0.3219,=1.9774,=1.4236,=1.1472
2021-12-15,=8826.4188,=11051.0600,=1901750044043.9707,=1496076737017,=809295485566.4797,=1.2011,=0.2989,=1.9774,=1.4241,=1.1472
2021-12-14,=8738.7142,=10941.2500,=1880632265290.4500,=1481915711169,=802308071270.8198,=1.1878,=0.2734,=1.9774,=1.4243,=1.1472
2021-12-13,=8874.2369,=11110.9300,=1910418457396.1104,=1504639616592,=814543811550.9902,=1.2066,=0.3060,=1.9774,=1.4245,=1.1472
