日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2023-02-24,=2949.6100,=3316.8500,=970304995020.4301,=785341835438,=519071669686.0800,=3.4334,=0.3465,=4.5264,=3.7230,=3.1975
2023-02-23,=2941.1200,=3307.3100,=969821831581.2303,=783667580826,=518971481342.6301,=3.4317,=0.3450,=4.5266,=3.7232,=3.1960
2023-02-22,=2945.1300,=3311.8100,=972836851732,=785577575039,=520507357038.6001,=3.4423,=0.3566,=4.5266,=3.7236,=3.1960
2023-02-21,=2929.3300,=3294.0400,=963012694691.4500,=779173601892,=515924958354.1199,=3.4076,=0.3259,=4.5266,=3.7240,=3.1960
2023-02-20,=2902.6300,=3264.0200,=951964390444.4104,=770561681073,=509476349284.1100,=3.3685,=0.2915,=4.5266,=3.7242,=3.1960
2023-02-17,=2865.8700,=3222.6900,=939948264623.3101,=761315505847,=503079326164.6800,=3.3259,=0.2592,=4.5266,=3.7243,=3.1960
2023-02-16,=2864.2200,=3220.8300,=939521363906.5900,=760591069276,=503563452297.4400,=3.3244,=0.2583,=4.5272,=3.7244,=3.1925
2023-02-15,=2893.1000,=3253.3000,=949889740652.4200,=768842349524,=508707581742.7699,=3.3611,=0.2855,=4.5272,=3.7245,=3.1925
2023-02-14,=2923.6100,=3287.6100,=962320438062.2402,=778331407198,=515368409998.7999,=3.4051,=0.3230,=4.5272,=3.7252,=3.1925
2023-02-13,=2938,=3303.8000,=961329026698.8398,=778010669717,=514788410383.4900,=3.4016,=0.3194,=4.5272,=3.7259,=3.1925
2023-02-10,=2946.5700,=3313.4300,=964150792043.3500,=780218212434,=516944075941.2900,=3.4116,=0.3283,=4.5272,=3.7263,=3.1925
2023-02-09,=2940.6900,=3306.8200,=964572098674.5400,=780609165150,=517259070774.7499,=3.4131,=0.3301,=4.5277,=3.7267,=3.1925
2023-02-08,=2926.8700,=3291.2800,=960386722610.9700,=777159073953,=515059834950.2800,=3.3983,=0.3172,=4.5277,=3.7270,=3.1925
2023-02-07,=2957.2000,=3325.3800,=968930377659.4600,=783817549859,=520336117133.9900,=3.4285,=0.3380,=4.5277,=3.7272,=3.1925
2023-02-06,=2983.4700,=3354.9300,=979417798920.1598,=791593655498,=526076452747.1000,=3.4656,=0.3670,=4.5277,=3.7283,=3.1925
2023-02-03,=2969.3000,=3338.9900,=973622322314.6500,=787476313763,=523000126968.1099,=3.4451,=0.3553,=4.5277,=3.7294,=3.1925
