日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-11-22,=5556.7600,=6385.0800,=2199756704516.9800,=1881140554669,=1181502565743.8298,=2.5774,=0.3818,=3.2300,=2.7964,=2.1957
2022-11-21,=5597.3200,=6431.6900,=2214647077683.4697,=1893828176448,=1189848972022.4800,=2.5948,=0.3964,=3.2300,=2.7966,=2.1957
2022-11-18,=5585.2800,=6417.8500,=2211402977956.3101,=1891180422668,=1187475596881.3999,=2.5910,=0.3931,=3.2316,=2.7967,=2.1954
2022-11-17,=5682.1000,=6529.1100,=2248664764318.7500,=1922617895096,=1207958943381.5901,=2.6347,=0.4198,=3.2316,=2.7968,=2.1954
2022-11-16,=5774.5400,=6635.3300,=2283372961312.1196,=1952769969925,=1227392648862.6599,=2.6753,=0.4379,=3.2316,=2.7969,=2.1954
2022-11-15,=5833.5800,=6703.1600,=2300703117258.2603,=1967440399295,=1239806250169.9795,=2.6956,=0.4521,=3.2316,=2.7970,=2.1954
2022-11-14,=5762.5800,=6621.5800,=2273747881026.3999,=1943967943322,=1225027663308.2805,=2.6641,=0.4316,=3.2316,=2.7970,=2.1954
2022-11-11,=5874.0800,=6749.7000,=2313382900030.7910,=1974945647522,=1248494532854.8804,=2.7106,=0.4595,=3.2322,=2.7975,=2.1952
2022-11-10,=5718.3500,=6570.7600,=2250271552000.9800,=1924345936933,=1214311741341.1201,=2.6366,=0.4210,=3.2322,=2.7980,=2.1952
2022-11-09,=5845.6300,=6717.0100,=2297914253312.1699,=1964977337001,=1241497836914.6702,=2.6924,=0.4497,=3.2322,=2.7984,=2.1952
2022-11-08,=5851.2000,=6723.4100,=2301726511185.7100,=1969240597044,=1242117820384.2705,=2.6969,=0.4522,=3.2322,=2.7988,=2.1952
2022-11-07,=5832.4300,=6701.8500,=2296043835473.8101,=1963995459122,=1238207509984.5898,=2.6902,=0.4481,=3.2322,=2.7990,=2.1952
2022-11-04,=5687.8900,=6535.7600,=2236998863805.9004,=1912962820335,=1206812746108.8999,=2.6211,=0.4134,=3.2335,=2.7992,=2.1925
2022-11-03,=5450.4800,=6262.9600,=2153254260958.6304,=1840810533231,=1156467517521.9600,=2.5229,=0.3481,=3.2335,=2.7994,=2.1925
2022-11-02,=5486.2700,=6304.0800,=2166075919755.7400,=1850705179600,=1164223701912.3098,=2.5380,=0.3584,=3.2335,=2.7996,=2.1925
2022-11-01,=5410.3500,=6216.8500,=2135253409049.0400,=1823338174092,=1148677734704.0500,=2.5018,=0.3335,=3.2335,=2.8003,=2.1925
2022-10-31,=5198.5200,=5973.4400,=2053288815922.7000,=1754310267182,=1103747720182.5200,=2.4061,=0.2995,=3.2335,=2.8010,=2.1925
2022-10-28,=5233.2100,=6013.3000,=2066706750313.9097,=1767843062663,=1109926524672.8711,=2.4555,=0.3145,=3.2336,=2.8013,=2.1924
2022-10-27,=5425.1400,=6233.8400,=2145416572562.3999,=1835193520626,=1146970317288.1394,=2.6154,=0.4089,=3.2336,=2.8017,=2.1924
2022-10-26,=5385.9100,=6188.7700,=2132670147402.9304,=1823691897524,=1138176375213.4180,=2.6015,=0.4008,=3.2336,=2.8024,=2.1924
2022-10-25,=5340.9300,=6137.0900,=2113828367658.1799,=1807699874298,=1123550664268.2893,=2.5876,=0.3899,=3.2336,=2.8031,=2.1924
2022-10-24,=5341.8500,=6138.1400,=2115316185068.3701,=1810311012908,=1122922005429.6228,=2.5948,=0.3968,=3.2336,=2.8031,=2.1924
2022-10-21,=5346.9900,=6144.0400,=2120321915682.6704,=1815326673045,=1123989431351.5286,=2.6497,=0.4260,=3.2338,=2.8032,=2.1919
2022-10-20,=5405.8900,=6211.7200,=2140258136875.5300,=1833059279366,=1135974495834.3384,=2.6796,=0.4376,=3.2338,=2.8033,=2.1919
2022-10-19,=5467.6300,=6282.6700,=2157164789273.9795,=1851413735964,=1148965976916.7256,=2.7122,=0.4579,=3.2338,=2.8034,=2.1919
2022-10-18,=5528.2300,=6352.3000,=2184310158803.2600,=1875365972580,=1161665365174.0095,=2.7464,=0.4722,=3.2338,=2.8041,=2.1919
2022-10-17,=5552.6700,=6380.3800,=2193571255419.9504,=1883088837448,=1166830071479.8198,=2.7655,=0.4815,=3.2338,=2.8048,=2.1919
2022-10-14,=5564.0900,=6393.5000,=2199607181356.5503,=1889544648179,=1169290318095.5986,=2.7677,=0.4840,=3.2341,=2.8052,=2.1914
2022-10-13,=5417.4600,=6225.0200,=2138986237779.8799,=1838425778627,=1138566636980.9282,=2.6914,=0.4472,=3.2341,=2.8057,=2.1914
2022-10-12,=5484.2500,=6301.7700,=2165788934585.8401,=1859430931005,=1152904838793.4585,=2.7251,=0.4655,=3.2341,=2.8060,=2.1914
2022-10-11,=5389.1300,=6192.4600,=2129310615491.3103,=1827633280210,=1133347953536.4412,=2.6792,=0.4384,=3.2341,=2.8063,=2.1914
2022-10-10,=5308.4500,=6099.7600,=2093657806424.7305,=1796646296673,=1116532271726.4905,=2.6344,=0.4201,=3.2341,=2.8063,=2.1914
2022-09-30,=5421.5900,=6229.7600,=2135944719670.2000,=1832453275642,=1140080809926.1377,=2.6876,=0.4447,=3.2344,=2.8063,=2.1912
2022-09-29,=5475.3600,=6291.5500,=2154585039601.5400,=1849186854747,=1150783133563.4036,=2.7111,=0.4563,=3.2344,=2.8066,=2.1912
2022-09-28,=5394.7400,=6198.9100,=2122622680594.3899,=1822404881183,=1133607588442.9453,=2.6709,=0.4340,=3.2344,=2.8068,=2.1912
2022-09-27,=5688.4700,=6536.4200,=2234483535208.1001,=1919243349091,=1195299464130.2751,=2.8116,=0.5030,=3.2344,=2.8070,=2.1912
2022-09-26,=5695.0100,=6543.9400,=2236682833712.7998,=1921186931705,=1196858961330.2512,=2.8144,=0.5040,=3.2344,=2.8068,=2.1912
2022-09-23,=5844.4300,=6715.6300,=2297803598864.6211,=1968200626613,=1229328182031.4043,=2.8913,=0.5461,=3.2351,=2.8066,=2.1912
2022-09-22,=5961.6600,=6850.3400,=2344811412911.9604,=2007904779099,=1253955545656.2625,=2.9505,=0.5863,=3.2351,=2.8063,=2.1912
2022-09-21,=5985.4600,=6877.4300,=2349691074103.8301,=2012340368366,=1259220846496.7632,=2.9557,=0.5925,=3.2351,=2.8063,=2.1912
2022-09-20,=5944.3300,=6830.1600,=2341074912823.4502,=2003300156424,=1250424978208.5537,=2.9449,=0.5824,=3.2351,=2.8063,=2.1912
2022-09-19,=5771.7500,=6631.8700,=2275752117110.9399,=1945626441948,=1214237799957.1421,=2.8627,=0.5327,=3.2351,=2.8060,=2.1912
2022-09-16,=5762.0900,=6620.7700,=2261941547365.2798,=1938627388411,=1212476097580.9751,=2.8594,=0.5305,=3.2351,=2.8057,=2.1910
2022-09-15,=5976.7800,=6867.4600,=2344567583435.2300,=2010025598013,=1257774373232.9353,=2.9638,=0.5962,=3.2351,=2.8052,=2.1910
2022-09-14,=6175.8400,=7096.1800,=2423884055347.0103,=2079375778943,=1298901019364.4846,=3.0641,=0.6746,=3.2351,=2.8048,=2.1910
2022-09-13,=6257.5500,=7190.0600,=2458646997604.5898,=2108958964426,=1316249143060.7600,=3.1080,=0.7142,=3.2351,=2.8041,=2.1910
2022-09-09,=6214.5700,=7140.6800,=2451210930399.3901,=2101492545141,=1306578902066.9265,=3.0986,=0.7069,=3.2351,=2.8034,=2.1910
2022-09-08,=6078.2200,=6984.0100,=2398795956857.1895,=2055663582944,=1277860289991.0613,=3.0324,=0.6480,=3.2357,=2.8033,=2.1902
2022-09-07,=6122.3000,=7034.6600,=2413204679947.4199,=2068726030930,=1286789354186.0862,=3.0506,=0.6649,=3.2357,=2.8032,=2.1902
2022-09-06,=6043.8500,=6944.5200,=2377955678549.6001,=2039676848852,=1270258629757.4944,=3.0060,=0.6258,=3.2357,=2.8031,=2.1902
2022-09-05,=5856.2600,=6728.9800,=2304534805619.6201,=1975867481884,=1230936979587.5105,=2.9335,=0.5748,=3.2357,=2.8031,=2.1902
2022-09-02,=5833.6600,=6703.0100,=2289123110818.7002,=1961000868066,=1225816462203.0039,=2.9139,=0.5631,=3.2357,=2.8024,=2.1902
2022-09-01,=5888.6000,=6766.1400,=2301190418432.4995,=1971102341128,=1237757137038.9238,=2.9293,=0.5721,=3.2380,=2.8017,=2.1901
2022-08-31,=5956.7800,=6844.4700,=2331093824557.4995,=1996073611537,=1252578292809.6377,=2.9673,=0.5994,=3.2380,=2.8013,=2.1901
2022-08-30,=6158.9800,=7076.8100,=2409283654686,=2061988188237,=1294013522399.9622,=3.1115,=0.7159,=3.2380,=2.8010,=2.1901
2022-08-29,=6205.4300,=7130.1800,=2430433589630.9004,=2080801243209,=1302950518440.0710,=3.1462,=0.7429,=3.2380,=2.8003,=2.1901
2022-08-26,=6252.8000,=7184.6000,=2444368609081.7905,=2093507320044,=1312529312114.4775,=3.1719,=0.7632,=3.2380,=2.7996,=2.1901
2022-08-25,=6200.6500,=7124.6900,=2430709085988.7500,=2082612541585,=1301659872277.0530,=3.1226,=0.7256,=3.2405,=2.7994,=2.1897
2022-08-24,=6225.1500,=7152.8400,=2443024443361.1104,=2091746835223,=1301979536821.7476,=3.1499,=0.7470,=3.2405,=2.7992,=2.1897
2022-08-23,=6392.1700,=7344.7500,=2507290112172.1611,=2146808867429,=1335840945024.5642,=3.2413,=0.8012,=3.2405,=2.7990,=2.1897
2022-08-22,=6417.4300,=7373.7700,=2510653439357.8999,=2149527648012,=1341122294930.6230,=3.2604,=0.8135,=3.2380,=2.7988,=2.1897
2022-08-19,=6189.6100,=7112,=2429937039951.6699,=2079568867489,=1287847527593.7156,=3.1958,=0.7787,=3.2357,=2.7984,=2.1897
2022-08-18,=6326.7100,=7268.2700,=2485789891589.4102,=2128633033224,=1316024939438.3984,=3.2672,=0.8177,=3.2380,=2.7980,=2.1892
2022-08-17,=6371.7600,=7320.0200,=2502734223475.1602,=2143001875703,=1325719971004.4729,=3.2917,=0.8309,=3.2357,=2.7975,=2.1892
