日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-03-28,=11169.9600,=12870.3900,=4459922800859.4707,=3650809048104,=2220182097089.7588,=4.7381,=0.6591,=5.4724,=4.4097,=3.9460
2022-03-25,=11250.1500,=12962.8000,=4492551837842.0615,=3677001137126,=2234345047093.6699,=4.7801,=0.6674,=5.4724,=4.4097,=3.9460
2022-03-24,=11623.4000,=13392.8600,=4637622327095.4785,=3798787671379,=2309405527400.4800,=4.9346,=0.7022,=5.4724,=4.4096,=3.9460
2022-03-23,=11366.2600,=13096.5800,=4535637425838.6514,=3717592209128,=2257242025410.8696,=4.8316,=0.6769,=5.4784,=4.4095,=3.9458
2022-03-22,=11138.4200,=12834.0600,=4450302049227.4805,=3646284464878,=2207381470244.2305,=4.7420,=0.6603,=5.4784,=4.4094,=3.9458
2022-03-21,=11428.6500,=13168.4600,=4561384240682.1904,=3737230577871,=2265524917329.7588,=4.8604,=0.6838,=5.4784,=4.4093,=3.9458
2022-03-18,=11258.9700,=12972.9600,=4495806736348.2393,=3684642341178,=2230551634470.9800,=4.7949,=0.6698,=5.4784,=4.4092,=3.9458
2022-03-17,=11192.0600,=12895.8500,=4467907417799.5293,=3669418716700,=2218184839621.9307,=4.7694,=0.6658,=5.4784,=4.4090,=3.9458
2022-03-16,=10805.7000,=12450.6800,=4307740078304.6099,=3539841314970,=2141059682534.4404,=4.6024,=0.6058,=5.4814,=4.4087,=3.9457
2022-03-15,=10516.4300,=12117.3800,=4196148966896.8799,=3447479114194,=2081337727176.4507,=4.4832,=0.5405,=5.4814,=4.4084,=3.9457
2022-03-14,=11010.4400,=12686.6000,=4395155094286.1899,=3619699925774,=2178789535610.4209,=4.6958,=0.6489,=5.4814,=4.4081,=3.9457
2022-03-11,=11112.4800,=12804.1700,=4441360690896.6504,=3651811308705,=2198974627767.2000,=4.7476,=0.6625,=5.4814,=4.4077,=3.9457
2022-03-10,=10801.3000,=12445.6100,=4318705231750.8008,=3547696365150,=2140254354279.4297,=4.6177,=0.6143,=5.4814,=4.4076,=3.9457
2022-03-09,=10396.4100,=11979.0800,=4170545343395.8901,=3418240953732,=2057901685817.5908,=4.4602,=0.5324,=5.4824,=4.4075,=3.9451
2022-03-08,=10671.9500,=12296.5800,=4274656397912.3096,=3510822456741,=2113404724676.8701,=4.5716,=0.5894,=5.4824,=4.4074,=3.9451
2022-03-07,=11030.1100,=12709.2500,=4413974782101.4512,=3626676756560,=2187855184656.0603,=4.7218,=0.6558,=5.4824,=4.4072,=3.9451
2022-03-04,=11415.7800,=13153.6400,=4564145564874.3799,=3750712045995,=2262701032392.2900,=4.8825,=0.6863,=5.4824,=4.4064,=3.9451
2022-03-03,=11432.9000,=13173.3700,=4571061862995.9404,=3759431028882,=2266024185893.8506,=4.8899,=0.6891,=5.4824,=4.4055,=3.9451
2022-03-02,=11506.7400,=13258.4500,=4601921345638.8604,=3782810183352,=2280768981200.6196,=4.9229,=0.6978,=5.4826,=4.4053,=3.9451
2022-03-01,=11586.2000,=13350,=4632901030173.0508,=3806701236293,=2297175212222.8198,=4.9560,=0.7055,=5.4826,=4.4052,=3.9451
2022-02-28,=11545.9300,=13303.6000,=4620486970488.3799,=3794814468460,=2288219213212.2295,=4.9428,=0.7031,=5.4826,=4.4052,=3.9451
2022-02-25,=11516.7600,=13269.9800,=4606885481608.5293,=3783857536360,=2283008995048.0796,=4.9282,=0.6991,=5.4826,=4.4051,=3.9451
2022-02-24,=11149.6700,=12847.0200,=4463749070708.2910,=3668132488661,=2209379463500.8701,=4.7751,=0.6671,=5.4826,=4.4050,=3.9451
2022-02-23,=11383.6500,=13116.6200,=4549839287475.9902,=3739044249107,=2255076874022.4102,=4.8672,=0.6846,=5.4839,=4.4050,=3.9448
2022-02-22,=11195.4300,=12899.7400,=4476213440372.8418,=3678708379844,=2217242914714.3003,=4.7884,=0.6698,=5.4839,=4.4044,=3.9448
2022-02-21,=11396.7100,=13131.6600,=4554353031618.2207,=3743996333179,=2257040830962.0405,=4.8720,=0.6850,=5.4839,=4.4038,=3.9448
2022-02-18,=11362.6700,=13092.4400,=4542547644205.4590,=3739485959064,=2249938149504.0908,=4.8594,=0.6839,=5.4839,=4.4032,=3.9448
2022-02-17,=11273.5000,=12989.7000,=4507058632129.2109,=3711407784392,=2232833832029.9209,=4.8295,=0.6763,=5.4839,=4.4027,=3.9448
2022-02-16,=11308.1100,=13029.5800,=4519480865801.4512,=3723905031140,=2239280403228.0601,=4.8428,=0.6821,=5.4843,=4.4024,=3.9446
2022-02-15,=11290.4600,=13009.2400,=4510411343812.6094,=3722418119150,=2233583078114.0400,=4.8331,=0.6784,=5.4843,=4.4022,=3.9446
2022-02-14,=10847.2000,=12498.5100,=4325861062431.6099,=3571682855838,=2142407880724.7600,=4.6353,=0.6271,=5.4843,=4.4021,=3.9446
2022-02-11,=10803.0500,=12447.6300,=4310679103258.1211,=3559106811231,=2132664031336.3601,=4.6190,=0.6188,=5.4843,=4.4020,=3.9446
2022-02-10,=11151.1000,=12848.6700,=4460600011727.2500,=3676497802227,=2204396537740.5605,=4.7797,=0.6696,=5.4843,=4.4012,=3.9446
2022-02-09,=11291.0100,=13009.8800,=4509488313885.4189,=3719595499373,=2235168566630.1699,=4.8410,=0.6809,=5.4846,=4.4005,=3.9445
2022-02-08,=11167.8100,=12867.9200,=4459425085362.7100,=3680377766238,=2212617767404.4404,=4.7873,=0.6707,=5.4846,=4.4001,=3.9445
2022-02-07,=11290.4700,=13009.2500,=4508655518642.6592,=3723045371142,=2241852303793.8101,=4.8401,=0.6807,=5.4846,=4.3997,=3.9445
2022-01-28,=11186.2100,=12889.1200,=4457550140577.2695,=3688438731842,=2220418730862.3398,=4.7853,=0.6705,=5.4846,=4.3994,=3.9445
2022-01-27,=11233.3100,=12943.3900,=4484056438448.6191,=3662993759230,=2229399336227.4795,=4.8137,=0.6746,=5.4846,=4.3992,=3.9445
2022-01-26,=11444.3400,=13186.5500,=4567492084671.4629,=3734777323309,=2270907971860.0898,=4.9033,=0.6922,=5.4888,=4.3985,=3.9442
2022-01-25,=11625.0100,=13394.7200,=4638514538549.3779,=3790813469883,=2308910963674.9600,=4.9795,=0.7078,=5.4888,=4.3978,=3.9442
2022-01-24,=11898.5000,=13709.8400,=4739785508482.6797,=3873416398980,=2362339741661.5205,=5.0882,=0.7208,=5.4888,=4.3978,=3.9442
